ID,F1_of_all,F2_of_all,F3_of_all,F4_of_all,F5_of_all,F6_of_all,F1_of_first_five,F2_of_first_five,F3_of_first_five,F4_of_first_five,F5_of_first_five,F6_of_first_five,F1_of_the_rest,F2_of_the_rest,F3_of_the_rest,F4_of_the_rest,F5_of_the_rest,F6_of_the_rest,Mw,charge_of_all,charge_of_first_five,charge_of_the_rest,positive_charge,negative_charge,polar_number,unpolar_number,unpolar_ratio,ph_number,length,hydrophobicity,jinpu_ug_ml,jinpu_uM,dachang_ug_ml,dachang_uM
43,-0.769,0.149,-0.452,0.065,0.369,-0.735,-0.734,-0.089,-0.338,0.028,0.528,-0.655,-0.986,0.362,-0.934,0.126,0.364,-1.037,1055.5,2,1,1,2,0,4,5,0.556,1,9,0.021,15.0,15.832,15.0,15.832
46,-0.854,-0.258,-1.012,0.15,0.33,-0.927,-0.799,-0.227,-1.062,0.1,0.331,-0.781,-0.91,-0.289,-0.961,0.2,0.329,-1.072,1054.7,3,2,1,3,0,3,7,0.7,0,10,-0.022,8.7,9.176,23.6,24.891
47,-0.815,0.232,-0.777,0.105,0.189,-0.738,-0.809,0.111,-0.676,0.074,0.331,-0.873,-0.252,0.163,-0.323,0.026,0.011,-0.225,2348.3,5,0,1,5,0,10,11,0.524,2,21,-0.18,2.257,5.3,2.725,6.4
48,-0.742,-0.155,-0.644,0.159,0.615,-0.677,-0.859,-0.16,-0.816,0.234,0.364,-0.794,-0.23,0.062,-0.376,0.031,0.388,-0.111,1875.8,6,2,3,6,0,6,10,0.625,1,16,-0.308,4.318,8.1,5.118,9.6
49,-0.925,-0.396,-0.565,0.199,0.479,-1.1,-0.867,-0.452,-0.2,0.142,0.625,-0.954,-0.983,-0.34,-0.93,0.256,0.332,-1.247,1013.6,0,0,0,0,0,0,10,1.0,1,10,0.376,10.458,10.6,12.135,12.3
52,-1.051,-0.024,-0.636,0.309,0.016,-1.308,-1.052,-0.004,-0.392,0.334,-0.018,-1.249,-1.049,-0.044,-0.88,0.284,0.05,-1.368,955.5,1,1,0,1,0,3,7,0.7,0,10,0.207,32.0,30.576,8.0,7.644
53,-0.796,0.086,-0.866,0.12,0.311,-0.794,-0.834,0.072,-1.004,0.209,0.339,-0.893,-0.758,0.099,-0.728,0.031,0.282,-0.696,1133.7,2,1,1,2,0,4,6,0.6,1,10,-0.024,16.0,18.139,16.0,18.139
54,-0.563,-0.179,-1.098,0.04,0.869,-0.348,-0.456,-0.104,-0.825,0.012,1.087,0.016,-0.44,-0.13,-0.88,0.043,0.529,-0.34,1558.4,4,2,2,4,0,4,8,0.667,1,12,-0.17,10.0,10.0,6.609,10.3
55,-0.462,-0.129,-0.579,-0.09,0.775,-0.137,-0.421,-0.086,-0.24,-0.18,0.637,-0.053,-0.317,-0.121,-0.491,-0.019,0.701,-0.125,1662.4,4,2,1,4,0,4,8,0.667,3,12,-0.098,10.0,10.0,46.319,77.0
56,-0.582,0.016,-0.51,-0.077,0.48,-0.289,-0.584,-0.085,-0.674,-0.09,0.556,-0.076,-0.464,0.163,-0.117,-0.075,0.331,-0.288,1424.1,4,3,1,4,0,5,6,0.545,3,11,-0.115,10.0,10.0,63.198,90.0
